_id,date,oh_region,icu_current_covid,icu_current_covid_vented,hospitalizations,icu_crci_total,icu_crci_total_vented,icu_former_covid,icu_former_covid_vented
3118,2021-01-25,WEST,103,61,433,107,64,4,3
3119,2021-01-26,WEST,96,74,447,100,76,4,2
3120,2021-01-27,WEST,96,75,428,101,78,5,3
3121,2021-01-28,WEST,93,75,408,98,78,5,3
3122,2021-01-29,WEST,93,73,398,98,76,5,3
3123,2021-01-30,WEST,94,51,363,99,52,5,1
3124,2021-01-31,WEST,101,70,353,107,73,6,3
3125,2021-02-01,WEST,99,71,353,105,73,6,2
3126,2021-02-02,WEST,93,70,352,99,73,6,3
3127,2021-02-03,WEST,95,71,329,102,76,7,5
3128,2021-02-04,WEST,88,59,308,98,67,10,8
3129,2021-02-05,WEST,83,59,287,93,66,10,7
3130,2021-02-06,WEST,82,53,285,93,59,11,6
3131,2021-02-07,WEST,87,59,262,95,65,8,6
3132,2021-02-08,WEST,86,56,248,95,60,9,4
3133,2021-02-09,WEST,79,54,261,86,58,7,4
3134,2021-02-10,WEST,75,56,239,82,60,7,4
3135,2021-02-11,WEST,72,47,216,81,52,9,5
3136,2021-02-12,WEST,69,45,195,79,51,10,6
3137,2021-02-13,WEST,68,44,178,79,49,11,5
3138,2021-02-14,WEST,66,46,189,78,52,12,6
3139,2021-02-15,WEST,71,42,187,83,48,12,6
3140,2021-02-16,WEST,64,34,197,76,40,12,6
3141,2021-02-17,WEST,63,36,192,75,41,12,5
3142,2021-02-18,WEST,54,31,182,66,36,12,5
3143,2021-02-19,WEST,50,32,162,63,37,13,5
3144,2021-02-20,WEST,48,29,157,57,33,9,4
3145,2021-02-21,WEST,51,28,164,60,31,9,3
3146,2021-02-22,WEST,54,35,170,63,38,9,3
3147,2021-02-23,WEST,50,33,169,59,36,9,3
3148,2021-02-24,WEST,55,35,160,62,36,7,1
3149,2021-02-25,WEST,53,31,172,61,32,8,1
3150,2021-02-26,WEST,54,39,157,61,40,7,1
3151,2021-02-27,WEST,56,35,171,65,36,9,1
3152,2021-02-28,WEST,59,42,169,65,43,6,1
3153,2021-03-01,WEST,57,37,168,62,39,5,2
3154,2021-03-02,WEST,61,44,166,63,45,2,1
3155,2021-03-03,WEST,64,45,169,66,46,2,1
3156,2021-03-04,WEST,67,48,162,70,49,3,1
3157,2021-03-05,WEST,65,41,157,71,42,6,1
3158,2021-03-06,WEST,62,47,160,71,50,9,3
3159,2021-03-07,WEST,62,46,161,71,48,9,2
3160,2021-03-08,WEST,67,52,180,76,54,9,2
3161,2021-03-09,WEST,68,44,184,77,46,9,2
3162,2021-03-10,WEST,61,46,163,67,48,6,2
3163,2021-03-11,WEST,60,46,163,66,48,6,2
3164,2021-03-12,WEST,58,39,149,63,40,5,1
3165,2021-03-13,WEST,57,37,152,63,39,6,2
3166,2021-03-14,WEST,56,37,153,65,41,9,4
3167,2021-03-15,WEST,61,36,176,69,38,8,2
3168,2021-03-16,WEST,56,37,200,64,39,8,2
3169,2021-03-17,WEST,58,37,191,67,39,9,2
3170,2021-03-18,WEST,60,42,194,69,44,9,2
3171,2021-03-19,WEST,56,38,202,65,42,9,4
3172,2021-03-20,WEST,55,39,196,63,42,8,3
3173,2021-03-21,WEST,58,31,195,67,35,9,4
3174,2021-03-22,WEST,57,34,205,64,39,7,5
3175,2021-03-23,WEST,65,36,191,72,40,7,4
3176,2021-03-24,WEST,66,39,192,73,43,7,4
3177,2021-03-25,WEST,64,37,196,71,40,7,3
3178,2021-03-26,WEST,68,39,197,72,40,4,1
3179,2021-03-27,WEST,72,31,206,77,32,5,1
3180,2021-03-28,WEST,70,46,204,76,48,6,2
3181,2021-03-29,WEST,69,40,211,76,42,7,2
3182,2021-03-30,WEST,66,47,218,73,48,7,1
3183,2021-03-31,WEST,67,41,202,75,42,8,1
3184,2021-04-01,WEST,67,41,198,74,42,7,1
3185,2021-04-02,WEST,65,42,203,71,44,6,2
3186,2021-04-03,WEST,66,43,187,72,44,6,1
3187,2021-04-04,WEST,72,42,194,78,42,6,0
3188,2021-04-05,WEST,77,52,207,83,52,6,0
3189,2021-04-06,WEST,80,56,222,88,58,8,2
3190,2021-04-07,WEST,82,56,227,90,59,8,3
3191,2021-04-08,WEST,92,64,225,99,66,7,2
3192,2021-04-09,WEST,96,70,234,104,71,8,1
3193,2021-04-10,WEST,111,72,233,119,75,8,3
3194,2021-04-11,WEST,124,78,248,129,81,5,3
3195,2021-04-12,WEST,120,90,271,125,93,5,3
3196,2021-04-13,WEST,123,83,312,129,88,6,5
3197,2021-04-14,WEST,130,92,342,137,95,7,3
3198,2021-04-15,WEST,137,94,342,145,97,8,3
3199,2021-04-16,WEST,147,111,346,155,115,8,4
3200,2021-04-17,WEST,154,116,382,163,121,9,5
3201,2021-04-18,WEST,168,126,405,177,132,9,6
3202,2021-04-19,WEST,181,131,417,190,137,9,6
3203,2021-04-20,WEST,188,142,471,200,150,12,8
3204,2021-04-21,WEST,193,152,484,205,160,12,8
3205,2021-04-22,WEST,208,167,504,218,175,10,8
3206,2021-04-23,WEST,218,164,518,229,174,11,10
3207,2021-04-24,WEST,227,168,520,238,178,11,10
3208,2021-04-25,WEST,226,167,544,238,176,12,9
3209,2021-04-26,WEST,238,170,552,251,178,13,8
3210,2021-04-27,WEST,243,176,569,256,182,13,6
3211,2021-04-28,WEST,255,184,570,271,192,16,8
3212,2021-04-29,WEST,261,194,579,278,203,17,9
3213,2021-04-30,WEST,262,197,592,279,203,17,6
3214,2021-05-01,WEST,261,202,567,279,207,18,5
3215,2021-05-02,WEST,268,195,567,287,200,19,5
3216,2021-05-03,WEST,264,198,570,283,207,19,9
3217,2021-05-04,WEST,268,211,573,282,218,14,7
3218,2021-05-05,WEST,272,211,545,285,219,13,8
3219,2021-05-06,WEST,264,206,532,277,212,13,6
3220,2021-05-07,WEST,264,213,544,277,221,13,8
3221,2021-05-08,WEST,277,217,520,293,224,16,7
3222,2021-05-09,WEST,278,207,530,295,214,17,7
3223,2021-05-10,WEST,263,191,524,280,197,17,6
3224,2021-05-11,WEST,254,192,508,268,200,14,8
3225,2021-05-12,WEST,244,193,475,258,201,14,8
3226,2021-05-13,WEST,243,191,457,256,199,13,8
3227,2021-05-14,WEST,243,190,441,252,193,9,3
3228,2021-05-15,WEST,233,175,411,252,185,19,10
3229,2021-05-16,WEST,228,163,391,249,173,21,10
3230,2021-05-17,WEST,227,162,381,248,173,21,11
3231,2021-05-18,WEST,219,173,383,242,187,23,14
3232,2021-05-19,WEST,213,161,369,238,180,25,19
3233,2021-05-20,WEST,202,137,357,225,151,23,14
3234,2021-05-21,WEST,193,141,339,216,155,23,14
3235,2021-05-22,WEST,189,138,313,212,153,23,15
3236,2021-05-23,WEST,182,136,376,208,149,26,13
3237,2021-05-24,WEST,179,129,281,208,143,29,14
3238,2021-05-25,WEST,180,129,306,210,141,30,12
3239,2021-05-26,WEST,178,129,302,206,140,28,11
3240,2021-05-27,WEST,175,122,278,199,129,24,7
3241,2021-05-28,WEST,172,128,264,197,139,25,11
3242,2021-05-29,WEST,166,112,253,187,122,21,10
3243,2021-05-30,WEST,161,110,223,183,118,22,8
3244,2021-05-31,WEST,163,114,216,186,123,23,9
3245,2021-06-01,WEST,152,101,223,175,112,23,11
3246,2021-06-02,WEST,144,109,204,169,121,25,12
3247,2021-06-03,WEST,127,88,199,156,104,29,16
3248,2021-06-04,WEST,123,88,205,149,103,26,15
3249,2021-06-05,WEST,118,89,199,147,107,29,18
3250,2021-06-06,WEST,115,88,183,144,105,29,17
3251,2021-06-07,WEST,110,84,185,142,104,32,20
3252,2021-06-08,WEST,107,75,175,141,93,34,18
3253,2021-06-09,WEST,101,76,178,130,91,29,15
3254,2021-06-10,WEST,100,77,160,126,90,26,13
3255,2021-06-11,WEST,96,69,162,122,82,26,13
3256,2021-06-12,WEST,91,72,151,116,86,25,14
3257,2021-06-13,WEST,97,68,143,123,78,26,10
3258,2021-06-14,WEST,98,63,157,120,74,22,11
3259,2021-06-15,WEST,92,67,183,113,78,21,11
3260,2021-06-16,WEST,91,67,166,114,79,23,12
3261,2021-06-17,WEST,90,58,170,110,70,20,12
3262,2021-06-18,WEST,91,63,182,109,74,18,11
3263,2021-06-19,WEST,89,68,164,103,76,14,8
3264,2021-06-20,WEST,94,67,155,107,73,13,6
3265,2021-06-21,WEST,90,67,153,104,76,14,9
3266,2021-06-22,WEST,93,69,161,109,78,16,9
3267,2021-06-23,WEST,95,67,144,110,76,15,9
3268,2021-06-24,WEST,98,69,144,108,76,10,7
3269,2021-06-25,WEST,92,72,141,103,80,11,8
3270,2021-06-26,WEST,92,57,141,105,62,13,5
3271,2021-06-27,WEST,93,64,136,107,70,14,6
3272,2021-06-28,WEST,92,63,138,107,71,15,8
3273,2021-06-29,WEST,88,63,142,105,69,17,6
3274,2021-06-30,WEST,88,61,146,105,68,17,7
3275,2021-07-01,WEST,83,56,137,100,64,17,8
3276,2021-07-02,WEST,77,46,126,93,53,16,7
3277,2021-07-03,WEST,75,52,128,92,61,17,9
3278,2021-07-04,WEST,72,48,115,89,58,17,10
3279,2021-07-05,WEST,73,50,119,90,60,17,10
3280,2021-07-06,WEST,75,50,127,91,59,16,9
3281,2021-07-07,WEST,75,50,122,89,57,14,7
3282,2021-07-08,WEST,75,47,110,89,57,14,10
3283,2021-07-09,WEST,68,48,107,79,55,11,7
3284,2021-07-10,WEST,69,45,94,79,52,10,7
3285,2021-07-11,WEST,70,45,89,81,53,11,8
3286,2021-07-12,WEST,69,39,95,80,47,11,8
3287,2021-07-13,WEST,60,41,93,70,48,10,7
3288,2021-07-14,WEST,58,37,99,68,43,10,6
3289,2021-07-15,WEST,56,41,91,65,47,9,6
3290,2021-07-16,WEST,53,38,85,63,45,10,7
3291,2021-07-17,WEST,50,36,83,59,43,9,7
3292,2021-07-18,WEST,47,33,82,61,43,14,10
3293,2021-07-19,WEST,46,30,81,61,37,15,7
3294,2021-07-20,WEST,44,29,81,57,38,13,9
3295,2021-07-21,WEST,50,14,70,55,19,5,5
3296,2021-07-22,WEST,51,29,77,56,33,5,4
3297,2021-07-23,WEST,45,29,68,50,34,5,5
3298,2021-07-24,WEST,43,33,58,48,37,5,4
3299,2021-07-25,WEST,39,31,55,45,32,6,1
3300,2021-07-26,WEST,42,28,62,49,32,7,4
3301,2021-07-27,WEST,42,32,66,48,36,6,4
3302,2021-07-28,WEST,41,33,62,48,37,7,4
3303,2021-07-29,WEST,41,31,51,48,35,7,4
3304,2021-07-30,WEST,42,30,57,48,33,6,3
3305,2021-07-31,WEST,39,31,57,46,34,7,3
3306,2021-08-01,WEST,39,31,58,45,34,6,3
3307,2021-08-02,WEST,38,31,60,45,34,7,3
3308,2021-08-03,WEST,39,33,61,46,36,7,3
3309,2021-08-04,WEST,40,29,63,47,32,7,3
3310,2021-08-05,WEST,38,31,54,46,35,8,4
3311,2021-08-06,WEST,41,30,51,47,32,6,2
3312,2021-08-07,WEST,42,33,56,48,36,6,3
3313,2021-08-08,WEST,42,29,54,48,32,6,3
3314,2021-08-09,WEST,40,27,62,46,30,6,3
3315,2021-08-10,WEST,39,27,55,45,30,6,3
3316,2021-08-11,WEST,37,26,49,42,29,5,3
3317,2021-08-12,WEST,41,26,54,47,29,6,3
3318,2021-08-13,WEST,40,22,59,45,26,5,4
3319,2021-08-14,WEST,42,27,70,47,31,5,4
3320,2021-08-15,WEST,46,28,75,51,32,5,4
3321,2021-08-16,WEST,46,28,88,52,32,6,4
3322,2021-08-17,WEST,49,29,92,56,33,7,4
3323,2021-08-18,WEST,47,30,95,55,35,8,5
3324,2021-08-19,WEST,47,27,97,55,32,8,5
3325,2021-08-20,WEST,47,28,102,53,31,6,3
3326,2021-08-21,WEST,50,32,110,54,34,4,2
3327,2021-08-22,WEST,52,34,118,56,36,4,2
3328,2021-08-23,WEST,55,36,128,60,38,5,2
3329,2021-08-24,WEST,55,37,135,59,38,4,1
3330,2021-08-25,WEST,57,39,127,61,40,4,1
3331,2021-08-26,WEST,57,34,136,61,36,4,2
3332,2021-08-27,WEST,56,30,140,60,32,4,2
3333,2021-08-28,WEST,55,34,128,61,37,6,3
3334,2021-08-29,WEST,50,36,145,55,40,5,4
3335,2021-08-30,WEST,50,33,133,55,37,5,4
3336,2021-08-31,WEST,49,33,132,55,36,6,3
3337,2021-09-01,WEST,52,36,128,58,40,6,4
3338,2021-09-02,WEST,50,37,120,56,41,6,4
3339,2021-09-03,WEST,55,36,126,61,39,6,3
3340,2021-09-04,WEST,61,33,113,67,36,6,3
3341,2021-09-05,WEST,65,36,128,71,39,6,3
3342,2021-09-06,WEST,70,39,144,76,41,6,2
3343,2021-09-07,WEST,68,42,148,76,45,8,3
3344,2021-09-08,WEST,66,43,154,73,46,7,3
3345,2021-09-09,WEST,64,45,147,70,48,6,3
3346,2021-09-10,WEST,61,41,145,66,44,5,3
3347,2021-09-11,WEST,59,39,141,65,43,6,4
3348,2021-09-12,WEST,61,34,129,67,38,6,4
3349,2021-09-13,WEST,60,37,131,67,41,7,4
3350,2021-09-14,WEST,59,37,149,66,40,7,3
3351,2021-09-15,WEST,60,33,139,65,36,5,3
3352,2021-09-16,WEST,65,37,128,70,41,5,4
3353,2021-09-17,WEST,66,39,119,72,43,6,4
3354,2021-09-18,WEST,67,36,130,71,40,4,4
3355,2021-09-19,WEST,63,38,125,67,42,4,4
3356,2021-09-20,WEST,61,33,128,65,38,4,5
3357,2021-09-21,WEST,63,43,129,68,47,5,4
3358,2021-09-22,WEST,63,42,134,69,47,6,5
3359,2021-09-23,WEST,66,46,132,73,50,7,4
3360,2021-09-24,WEST,61,44,126,69,48,8,4
3361,2021-09-25,WEST,58,45,137,65,51,7,6
3362,2021-09-26,WEST,57,42,141,64,47,7,5
3363,2021-09-27,WEST,61,42,117,68,47,7,5
3364,2021-09-28,WEST,59,42,144,66,47,7,5
3365,2021-09-29,WEST,57,37,129,63,41,6,4
3366,2021-09-30,WEST,57,37,161,62,42,5,5
3367,2021-10-01,WEST,53,38,123,60,43,7,5
3368,2021-10-02,WEST,54,35,118,60,39,6,4
3369,2021-10-03,WEST,49,33,101,61,43,12,10
3370,2021-10-04,WEST,50,31,105,61,40,11,9
3371,2021-10-05,WEST,50,30,107,61,39,11,9
3372,2021-10-06,WEST,50,29,110,61,37,11,8
3373,2021-10-07,WEST,50,31,117,62,41,12,10
3374,2021-10-08,WEST,49,29,104,62,37,13,8
3375,2021-10-09,WEST,49,31,101,61,40,12,9
3376,2021-10-10,WEST,48,30,94,61,38,13,8
3377,2021-10-11,WEST,46,31,94,60,39,14,8
3378,2021-10-12,WEST,45,33,104,58,42,13,9
3379,2021-10-13,WEST,48,29,102,61,39,13,10
3380,2021-10-14,WEST,49,30,106,61,39,12,9
3381,2021-10-15,WEST,51,31,100,62,39,11,8
3382,2021-10-16,WEST,54,29,102,65,36,11,7
3383,2021-10-17,WEST,56,29,107,67,37,11,8
3384,2021-10-18,WEST,54,31,104,66,36,12,5
3385,2021-10-19,WEST,52,32,106,63,40,11,8
3386,2021-10-20,WEST,51,35,105,62,44,11,9
3387,2021-10-21,WEST,52,35,110,63,43,11,8
3388,2021-10-22,WEST,48,27,103,59,35,11,8
3389,2021-10-23,WEST,38,28,105,49,35,11,7
3390,2021-10-24,WEST,38,27,94,49,32,11,5
3391,2021-10-25,WEST,41,26,100,52,33,11,7
3392,2021-10-26,WEST,40,25,105,52,32,12,7
3393,2021-10-27,WEST,39,22,96,49,29,10,7
3394,2021-10-28,WEST,35,22,92,45,30,10,8
3395,2021-10-29,WEST,33,22,94,45,30,12,8
3396,2021-10-30,WEST,36,20,101,46,28,10,8
3397,2021-10-31,WEST,36,22,85,46,30,10,8
3398,2021-11-01,WEST,35,21,86,45,29,10,8
3399,2021-11-02,WEST,36,21,100,46,29,10,8
3400,2021-11-03,WEST,41,19,95,51,25,10,6
3401,2021-11-04,WEST,38,23,91,49,30,11,7
3402,2021-11-05,WEST,40,22,92,49,28,9,6
3403,2021-11-06,WEST,42,25,97,50,31,8,6
3404,2021-11-07,WEST,43,26,95,51,31,8,5
3405,2021-11-08,WEST,43,26,104,50,30,7,4
3406,2021-11-09,WEST,49,31,108,56,34,7,3
3407,2021-11-10,WEST,48,30,108,56,34,8,4
3408,2021-11-11,WEST,43,26,111,56,32,13,6
3409,2021-11-12,WEST,44,26,124,56,33,12,7
3410,2021-11-13,WEST,41,27,119,55,36,14,9
3411,2021-11-14,WEST,43,28,127,57,36,14,8
3412,2021-11-15,WEST,47,28,144,62,35,15,7
3413,2021-11-16,WEST,47,31,142,62,37,15,6
3414,2021-11-17,WEST,44,26,132,59,33,15,7
3415,2021-11-18,WEST,39,25,128,53,31,14,6
3416,2021-11-19,WEST,41,27,129,51,32,10,5
3417,2021-11-20,WEST,46,27,124,56,35,10,8
3418,2021-11-21,WEST,47,28,115,57,35,10,7
3419,2021-11-22,WEST,50,32,115,59,38,9,6
3420,2021-11-23,WEST,49,34,115,59,40,10,6
3421,2021-11-24,WEST,50,32,119,58,37,8,5
3422,2021-11-25,WEST,48,33,99,56,37,8,4
3423,2021-11-26,WEST,51,34,111,58,38,7,4
3424,2021-11-27,WEST,50,36,109,57,39,7,3
3425,2021-11-28,WEST,48,35,106,55,38,7,3
3426,2021-11-29,WEST,56,34,109,63,37,7,3
3427,2021-11-30,WEST,60,38,108,68,44,8,6
3428,2021-12-01,WEST,57,37,119,65,43,8,6
3429,2021-12-02,WEST,55,29,119,63,33,8,4
3430,2021-12-03,WEST,51,36,111,60,42,9,6
3431,2021-12-04,WEST,58,38,112,67,45,9,7
3432,2021-12-05,WEST,61,38,113,69,44,8,6
3433,2021-12-06,WEST,64,39,123,73,43,9,4
3434,2021-12-07,WEST,62,39,138,73,44,11,5
3435,2021-12-08,WEST,57,44,133,67,47,10,3
3436,2021-12-09,WEST,60,42,130,71,45,11,3
3437,2021-12-10,WEST,59,42,130,69,45,10,3
3438,2021-12-11,WEST,61,42,132,71,46,10,4
3439,2021-12-12,WEST,64,45,128,75,48,11,3
3440,2021-12-13,WEST,64,38,144,74,40,10,2
3441,2021-12-14,WEST,65,44,165,74,46,9,2
3442,2021-12-15,WEST,65,47,166,72,48,7,1
3443,2021-12-16,WEST,72,57,174,79,58,7,1
3444,2021-12-17,WEST,68,48,179,76,49,8,1
3445,2021-12-18,WEST,70,53,186,77,53,7,0
3446,2021-12-19,WEST,72,49,188,78,50,6,1
3447,2021-12-20,WEST,76,54,191,81,55,5,1
3448,2021-12-21,WEST,75,52,184,80,53,5,1
3449,2021-12-22,WEST,72,50,191,76,52,4,2
3450,2021-12-23,WEST,72,49,195,78,51,6,2
3451,2021-12-24,WEST,70,48,220,75,50,5,2
3452,2021-12-25,WEST,73,49,231,76,50,3,1
3453,2021-12-26,WEST,75,50,241,78,52,3,2
3454,2021-12-27,WEST,79,56,271,82,58,3,2
3455,2021-12-28,WEST,84,56,292,87,58,3,2
3456,2021-12-29,WEST,85,56,318,89,58,4,2
3457,2021-12-30,WEST,87,52,367,91,54,4,2
3458,2021-12-31,WEST,83,52,398,86,54,3,2
3459,2022-01-01,WEST,87,58,428,90,60,3,2
3460,2022-01-02,WEST,94,59,464,96,60,2,1
3461,2022-01-03,WEST,96,59,521,99,61,3,2
3462,2022-01-04,WEST,104,57,589,106,59,2,2
3463,2022-01-05,WEST,119,62,665,121,65,2,3
3464,2022-01-06,WEST,131,79,684,133,81,2,2
3465,2022-01-07,WEST,131,70,721,135,73,4,3
3466,2022-01-08,WEST,141,86,774,144,87,3,1
3467,2022-01-09,WEST,144,80,808,148,83,4,3
3468,2022-01-10,WEST,146,84,836,150,87,4,3
3469,2022-01-11,WEST,152,85,896,161,92,9,7
3470,2022-01-12,WEST,160,91,952,169,99,9,8
3471,2022-01-13,WEST,159,96,1009,167,103,8,7
3472,2022-01-14,WEST,173,94,1081,181,102,8,8
3473,2022-01-15,WEST,187,113,1121,193,119,6,6
3474,2022-01-16,WEST,187,115,1108,195,123,8,8
3475,2022-01-17,WEST,188,117,1170,194,122,6,5
3476,2022-01-18,WEST,191,123,1221,197,128,6,5
3477,2022-01-19,WEST,194,118,1231,200,123,6,5
3478,2022-01-20,WEST,186,120,1211,193,125,7,5
3479,2022-01-21,WEST,183,118,1239,190,123,7,5
3480,2022-01-22,WEST,182,122,1185,191,126,9,4
3481,2022-01-23,WEST,183,115,1155,192,119,9,4
3482,2022-01-24,WEST,189,118,1147,199,120,10,2
3483,2022-01-25,WEST,191,121,1205,200,124,9,3
3484,2022-01-26,WEST,183,124,1134,193,127,10,3
3485,2022-01-27,WEST,178,121,1103,189,126,11,5
3486,2022-01-28,WEST,179,126,1096,190,131,11,5
3487,2022-01-29,WEST,181,127,1063,191,131,10,4
3488,2022-01-30,WEST,173,115,1020,182,120,9,5
3489,2022-01-31,WEST,177,116,1016,185,118,8,2
3490,2022-02-01,WEST,177,117,1037,189,120,12,3
3491,2022-02-02,WEST,171,107,952,185,111,14,4
3492,2022-02-03,WEST,171,103,909,185,108,14,5
3493,2022-02-04,WEST,162,97,875,175,101,13,4
3494,2022-02-05,WEST,155,93,833,164,96,9,3
3495,2022-02-06,WEST,151,92,763,160,95,9,3
3496,2022-02-07,WEST,149,77,731,156,81,7,4
3497,2022-02-08,WEST,145,85,748,151,88,6,3
3498,2022-02-09,WEST,130,78,704,140,83,10,5
3499,2022-02-10,WEST,131,84,666,141,86,10,2
3500,2022-02-11,WEST,127,81,649,138,87,11,6
3501,2022-02-12,WEST,119,72,587,132,79,13,7
3502,2022-02-13,WEST,121,77,536,134,82,13,5
3503,2022-02-14,WEST,115,71,544,127,76,12,5
3504,2022-02-15,WEST,112,73,556,122,79,10,6
3505,2022-02-16,WEST,109,70,501,117,75,8,5
3506,2022-02-17,WEST,109,66,460,119,72,10,6
3507,2022-02-18,WEST,103,66,455,113,73,10,7
3508,2022-02-19,WEST,90,56,414,101,62,11,6
3509,2022-02-20,WEST,86,52,402,99,59,13,7
3510,2022-02-21,WEST,82,52,394,95,59,13,7
3511,2022-02-22,WEST,83,53,408,93,58,10,5
3512,2022-02-23,WEST,79,46,402,97,57,18,11
3513,2022-02-24,WEST,79,47,372,98,57,19,10
3514,2022-02-25,WEST,72,46,341,94,58,22,12
3515,2022-02-26,WEST,69,47,365,89,56,20,9
3516,2022-02-27,WEST,68,44,292,86,52,18,8
3517,2022-02-28,WEST,65,42,289,85,51,20,9
3518,2022-03-01,WEST,67,37,314,85,47,18,10
3519,2022-03-02,WEST,66,36,284,82,45,16,9
3520,2022-03-03,WEST,64,34,276,83,43,19,9
3521,2022-03-04,WEST,62,39,266,78,48,16,9
3522,2022-03-05,WEST,60,40,258,74,48,14,8
3523,2022-03-06,WEST,56,33,257,73,43,17,10
3524,2022-03-07,WEST,56,25,254,73,35,17,10
3525,2022-03-08,WEST,53,29,254,69,38,16,9
